unid,survey_date_month,survey_num,gender,working,cft_score,num_score,com_score,grit_score,opt_score
69132,2017-02-01,1,Female,False,4.0,,,7,11.0
25808,2018-05-01,1,Female,False,,,,0,
102200,2017-09-01,1,Male,True,,,,5,6.0
102200,2018-06-01,2,Male,False,,,,5,6.0
88456,2017-01-01,1,Male,True,4.0,,,6,3.0
50899,2018-08-01,1,Female,False,6.0,4.0,5.0,3,
62442,2016-03-01,1,Male,False,6.0,5.0,5.0,6,
62442,2016-11-01,2,Male,False,6.0,5.0,5.0,6,
4962,2018-03-01,1,Female,False,,,,9,
4962,2018-05-01,2,Female,False,,,,9,
67106,2017-05-01,1,Female,False,7.0,,,3,5.0
34959,2016-04-01,1,Male,False,7.0,,,8,5.0
34959,2016-12-01,2,Male,False,7.0,,,8,5.0
34959,2017-04-01,3,Male,False,7.0,,,8,5.0
34959,2018-07-01,4,Male,False,7.0,,,8,5.0
4878,2018-02-01,1,Male,False,,,,0,
88834,2016-08-01,1,Female,False,6.0,4.0,7.0,7,6.0
88834,2016-12-01,2,Female,False,6.0,4.0,7.0,7,6.0
88834,2017-04-01,3,Female,False,6.0,4.0,7.0,7,6.0
88834,2017-08-01,4,Female,False,6.0,4.0,7.0,7,6.0
88834,2018-04-01,5,Female,False,6.0,4.0,7.0,7,6.0
33160,2018-08-01,1,Male,False,6.0,,6.0,6,
65691,2018-02-01,1,Female,False,,,,1,3.0
54133,2017-10-01,1,Female,False,4.0,,,7,3.0
75562,2016-12-01,1,Female,False,6.0,,,7,13.0
75562,2017-04-01,2,Female,False,6.0,,,7,13.0
43442,2017-06-01,1,Male,False,5.0,,7.0,6,
20213,2018-08-01,1,Female,True,6.0,,5.0,7,
2347,2018-03-01,1,Female,False,,,,2,
84835,2017-06-01,1,Male,False,5.0,,,9,9.0
83416,2017-04-01,1,Male,False,5.0,,7.0,3,4.0
99597,2017-06-01,1,Male,False,7.0,,,8,10.0
99597,2018-02-01,2,Male,False,7.0,,,8,10.0
50877,2017-09-01,1,Female,False,,,,9,4.0
