unid,survey_date_month,survey_num,gender,working,cft_score,num_score,com_score,grit_score,opt_score
7688,2017-06-01,1,Female,False,7.0,1.0,8.0,9,
7688,2018-07-01,2,Female,False,7.0,1.0,8.0,9,
69588,2018-09-01,1,Female,False,,,,3,
94243,2016-06-01,1,Male,False,3.0,,5.0,5,4.0
94243,2016-10-01,2,Male,False,3.0,,5.0,5,4.0
12142,2017-09-01,1,Female,False,,,,2,3.0
100370,2017-10-01,1,Female,False,7.0,3.0,9.0,6,5.0
91712,2018-10-01,1,Female,False,6.0,,,6,
33535,2017-06-01,1,Male,False,,,,5,6.0
33535,2017-10-01,2,Male,False,,,,5,6.0
88673,2016-03-01,1,Female,False,7.0,2.0,8.0,6,5.0
88673,2016-07-01,2,Female,False,7.0,2.0,8.0,6,5.0
98973,2017-09-01,1,Female,False,2.0,4.0,7.0,9,5.0
98973,2018-09-01,2,Female,False,2.0,4.0,7.0,9,5.0
98973,2018-09-01,3,Female,False,2.0,4.0,7.0,9,5.0
98973,2018-09-01,4,Female,False,2.0,4.0,7.0,9,5.0
74445,2016-02-01,1,Female,False,7.0,3.0,5.0,8,10.0
